model_name,frame,epsilon,true_label,clean_probability,clean_prediction,adversarial_probability,adversarial_prediction,attack_success
pedestrian,0,0.01,0,0.052956655621528625,0,0.19765664637088776,0,False
pedestrian,0,0.05,0,0.052956655621528625,0,0.1605088710784912,0,False
pedestrian,0,0.1,0,0.052956655621528625,0,0.14331264793872833,0,False
traffic_light,0,0.01,0,0.0030643765348941088,0,0.09906085580587387,0,False
traffic_light,0,0.05,0,0.0030643765348941088,0,0.14390817284584045,0,False
traffic_light,0,0.1,0,0.0030643765348941088,0,0.1495853215456009,0,False
vehicle,10,0.01,1,0.9002131223678589,1,0.4309040904045105,0,True
vehicle,10,0.05,1,0.9002131223678589,1,0.4715142846107483,0,True
vehicle,10,0.1,1,0.9002131223678589,1,0.4918873906135559,0,True
