condition,frame,true_label,knn_ood_score,is_ood
normal,0,0.0,5.6191202163696286,0
normal,10,0.0,5.528332805633545,0
normal,20,0.0,5.499968528747559,0
normal,30,0.0,5.463260650634766,0
normal,40,0.0,5.463348770141602,0
normal,50,0.0,5.472361850738525,0
normal,60,0.0,5.488671588897705,0
normal,70,0.0,5.4755785942077635,0
normal,80,0.0,5.446166706085205,0
normal,90,0.0,5.4981636047363285,0
normal,100,0.0,5.092607116699218,0
normal,110,0.0,5.359465885162353,0
normal,120,0.0,5.28213062286377,0
normal,130,0.0,5.39144458770752,0
normal,140,0.0,5.717076587677002,0
normal,150,0.0,5.704624843597412,0
normal,160,0.0,6.756463146209716,0
normal,170,0.0,6.584777069091797,0
normal,180,0.0,6.356464385986328,0
normal,190,0.0,6.200928783416748,0
normal,200,0.0,6.216694450378418,0
normal,210,0.0,6.214441585540771,0
normal,220,0.0,6.198326492309571,0
normal,230,0.0,6.195665454864502,0
normal,240,0.0,6.175370502471924,0
normal,250,0.0,6.272356796264648,0
normal,260,0.0,6.47804822921753,0
normal,270,0.0,6.046429443359375,0
normal,280,0.0,6.294581317901612,0
normal,290,0.0,6.4698484420776365,0
normal,300,0.0,6.154255771636963,0
normal,310,0.0,5.854510688781739,0
normal,320,0.0,6.51676836013794,0
normal,330,0.0,6.73804121017456,0
normal,340,0.0,6.760698890686035,0
normal,350,0.0,6.760698890686035,0
normal,360,0.0,6.760698890686035,0
normal,370,0.0,6.760698890686035,0
normal,380,0.0,6.760698890686035,0
normal,390,0.0,6.760698890686035,0
normal,400,0.0,6.4002093315124515,0
normal,410,0.0,6.058842182159424,0
normal,420,0.0,5.550173759460449,0
normal,430,0.0,6.0283653259277346,0
normal,440,0.0,6.112951850891113,0
normal,450,0.0,5.679020500183105,0
normal,460,0.0,5.993443584442138,0
normal,470,0.0,5.3190836906433105,0
normal,480,0.0,6.201828575134277,0
normal,490,0.0,5.968619346618652,0
normal,500,0.0,5.6190108299255375,0
normal,510,0.0,6.486285305023193,0
normal,520,0.0,6.11083288192749,0
normal,530,0.0,5.8212226867675785,0
