bin,lower,upper,bin_size,accuracy,confidence,gap
9,0.8,0.9,7,0.14285714285714285,0.8922369820731026,0.7493798392159599
10,0.9,1.0,3593,0.2824937378235458,0.9757505967993276,0.6932568589757818
