bin,lower,upper,bin_size,accuracy,confidence,gap
6,0.5,0.6000000000000001,468,0.6495726495726496,0.54893225,0.10064039525822699
7,0.6000000000000001,0.7000000000000001,855,0.7146198830409357,0.6566776,0.05794227931931706
8,0.7000000000000001,0.8,1396,0.7664756446991404,0.75089306,0.015582588306470746
9,0.8,0.9,861,0.8408826945412311,0.84123176,0.0003490688216534199
10,0.9,1.0,20,1.0,0.91183424,0.0881657600402832
