bin,lower,upper,bin_size,accuracy,confidence,gap
6,0.5,0.6000000000000001,220,0.6090909090909091,0.5499743526632136,0.05911655642769553
7,0.6000000000000001,0.7000000000000001,228,0.6842105263157895,0.649453385618695,0.03475714069709446
8,0.7000000000000001,0.8,390,0.6692307692307692,0.7566347915392656,0.08740402230849642
9,0.8,0.9,866,0.745958429561201,0.8575366377555195,0.11157820819431852
10,0.9,1.0,1896,0.8080168776371308,0.9497660598108537,0.1417491821737229
