bin,lower,upper,bin_size,accuracy,confidence,gap
7,0.6000000000000001,0.7000000000000001,227,0.6784140969162996,0.68604684,0.007632741844076363
8,0.7000000000000001,0.8,2913,0.8050120151047031,0.7563021,0.0487098968033115
9,0.8,0.9,460,0.8586956521739131,0.8129122,0.04578342645064648
