model_name,temperature,validation_nll
pedestrian,0.5,1.5018482208251953
pedestrian,0.6,1.257603406906128
pedestrian,0.7,1.0873874425888062
pedestrian,0.8,0.964202880859375
pedestrian,0.9,0.8727372884750366
pedestrian,1.0,0.8035687804222107
pedestrian,1.1,0.7505502104759216
pedestrian,1.2,0.7094938158988953
pedestrian,1.3,0.67745441198349
pedestrian,1.4,0.6523086428642273
pedestrian,1.5,0.632495105266571
pedestrian,1.6,0.6168477535247803
pedestrian,1.7,0.6044833660125732
pedestrian,1.8,0.5947257280349731
pedestrian,1.9,0.5870512127876282
pedestrian,2.0,0.5810513496398926
pedestrian,2.1,0.5764045715332031
pedestrian,2.2,0.5728556513786316
pedestrian,2.3,0.5702012181282043
pedestrian,2.4,0.5682777166366577
pedestrian,2.5,0.5669530630111694
pedestrian,2.6,0.5661202669143677
pedestrian,2.7,0.5656915903091431
pedestrian,2.8,0.5655956864356995
pedestrian,2.9,0.5657734274864197
pedestrian,3.0,0.5661762952804565
traffic_light,0.5,7.334125518798828
traffic_light,0.6,6.112714767456055
traffic_light,0.7,5.241314888000488
traffic_light,0.8,4.58914041519165
traffic_light,0.9,4.08351469039917
traffic_light,1.0,3.680781602859497
traffic_light,1.1,3.353102445602417
traffic_light,1.2,3.081861734390259
traffic_light,1.3,2.8541252613067627
traffic_light,1.4,2.660613536834717
traffic_light,1.5,2.4944944381713867
traffic_light,1.6,2.3506202697753906
traffic_light,1.7,2.2250401973724365
traffic_light,1.8,2.1146695613861084
traffic_light,1.9,2.0170657634735107
traffic_light,2.0,1.9302700757980347
traffic_light,2.1,1.8526945114135742
traffic_light,2.2,1.7830381393432617
traffic_light,2.3,1.7202266454696655
traffic_light,2.4,1.663364291191101
traffic_light,2.5,1.6117008924484253
traffic_light,2.6,1.564601182937622
traffic_light,2.7,1.5215264558792114
traffic_light,2.8,1.4820162057876587
traffic_light,2.9,1.4456746578216553
traffic_light,3.0,1.4121605157852173
vehicle,0.5,0.9798007607460022
vehicle,0.6,0.8636994361877441
vehicle,0.7,0.7864237427711487
vehicle,0.8,0.7328963279724121
vehicle,0.9,0.6947765350341797
vehicle,1.0,0.6670960783958435
vehicle,1.1,0.646726131439209
vehicle,1.2,0.631609320640564
vehicle,1.3,0.6203454732894897
vehicle,1.4,0.6119551658630371
vehicle,1.5,0.6057370901107788
vehicle,1.6,0.6011792421340942
vehicle,1.7,0.5979019403457642
vehicle,1.8,0.5956198573112488
vehicle,1.9,0.5941153764724731
vehicle,2.0,0.5932214856147766
vehicle,2.1,0.5928083658218384
vehicle,2.2,0.592774510383606
vehicle,2.3,0.5930401086807251
vehicle,2.4,0.5935417413711548
vehicle,2.5,0.5942288637161255
vehicle,2.6,0.595061182975769
vehicle,2.7,0.5960061550140381
vehicle,2.8,0.5970374941825867
vehicle,2.9,0.5981343388557434
vehicle,3.0,0.5992792248725891
