bin,lower,upper,bin_size,accuracy,confidence,gap
7,0.6000000000000001,0.7000000000000001,118,0.09322033898305085,0.69294536,0.5997250221543393
8,0.7000000000000001,0.8,1958,0.1767109295199183,0.75602794,0.5793170074155065
9,0.8,0.9,1361,0.429096252755327,0.8426931,0.4135968376835158
10,0.9,1.0,163,0.4601226993865031,0.91444856,0.45432585989770713
